key,en,fr
SLIME_BOT,It will still die if pushed against a wall or spikes.,La gelée meurt immédiatement si elle est poussée contre un mur ou des pieux.
BAT_BOT,If attacked the bat will dodge to the cell on its right if it's empty.,"Lorsqu’elle est attaquée, la chauve-souris esquive l’attaque vers la case à sa droite si elle est libre."
SPIKES_BOT,The spike trap kills any creature that stand on it.,Le piège à pieux tue n’importe qu’elle créature qui se retrouve sur sa case.
USE_ROMAN,true,true
TITLE_BUTTON_PLAY,Play,Jouer
TITLE_BUTTON_PROFILE,Choose profile,Choisir le profil
TITLE_BUTTON_OPTIONS,Settings,Options
TITLE_BUTTON_EXIT,Exit game,Quitter le jeu
TITLE_PROFILE,Profile,Profil
TITLE_GAME_BY,A game by,Créé par
TITLE_VERSION,Current version,Version actuelle
PROFILE_NAME,Name,Nom
PROFILE_PROGRESS,Progress,Progrès
PROFILE_BUTTON_NEW,New,Nouveau
PROFILE_BUTTON_DELETE,Delete,Supprimer
PROFILE_BUTTON_CONFIRM,Confirm,Valider
PROFILE_BUTTON_CANCEL,Cancel,Annuler
PROFILE_NAME_WINDOW,Choose a name,Entrez un nom
PROFILE_DELETE_WINDOW,Are you sure you want to delete this profile:,Voulez-vous vraiment supprimer ce profil:
PROFILE_HELP_WINDOW,Your save folder is located at:,Le chemin du dossier de sauvegardes est:
PROFILE_BUTTON_COPY,Copy,Copier
LEVELS_TITLE,Level Selection,Choix du niveau
SETTINGS_LANGUAGE,Language,Langue
SETTINGS_CURSOR,Cursor size,Taille du curseur
SETTINGS_SPEED,Animation speed,Vitesse des animations
SETTINGS_HERO,Hero selection,Sélection des héros
SETTINGS_DRAG,Drag,Maintenir
SETTINGS_CLICK,Click,Cliquer
SETTINGS_MUSIC,Music volume,Musique
SETTINGS_SOUNDS,Sounds volume,Sons
SETTINGS_BRIGHTNESS,Brightness,Luminosité
SETTINGS_SIZE,Window size,Taille de la fenêtre
SETTINGS_FULLSCREEN,Fullscreen,Plein écran
SETTINGS_YES,Yes,Oui
SETTINGS_NO,No,Non
SETTINGS_APPLY,Apply,Appliquer
SETTINGS_BACK,Back,Retour
GAME_HEROES,Heroes,Héros
GAME_HELP,Help,Infos
GAME_TURN_ORDER,Turn Order,Ordre du Tour
PAUSE_RESUME,Resume,Continuer
PAUSE_MENU,Main menu,Retour au menu
BUTTONS_PLAY,Play,Jouer
BUTTONS_RESET,Reset,Reset
BUTTONS_MENU,Menu,Menu
BUTTONS_STOP,Stop,Stop
